PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	C3	RP	EM	RI	OI	FU	FP	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	DL	D2	EA	PG	WC	WE	SC	GA	PM	OA	HC	HP	DA	UT
J	van Zeijl-Rozema, A; Corvers, R; Kemp, R; Martens, P				van Zeijl-Rozema, Annemarie; Corvers, Ron; Kemp, Rene; Martens, Pim			Governance for Sustainable Development: A Framework	SUSTAINABLE DEVELOPMENT			English	Article						governance; sustainable development; framework; typology; sustainability strategies; state-society relations/interactions; multi-actor constellations		This paper explores how two complex concepts, governance and sustainable development, can be linked in order to obtain a better understanding of their interactions. We argue that the many perspectives on sustainable development can be mapped on the continuum between ecological sustainability and quality of life. Likewise, the variety of modes of governance can be captured between hierarchical governance and deliberative governance, depending on the degree of involvement of societal actors. From these two typologies we derive a framework for analysis of governance for sustainable development. We realize that the typology is a significant simplification of the complex debates about sustainable development and governance, but it might help scientists and policy makers to explore relevant dimensions of modes of governance for sustainable development and for setting a framework for empirical analysis. The main conclusion of this paper is that the debate on governance for sustainable development will be clarified if the perspective on sustainable development and the mode of governance for achieving it are made more explicit. Problems that are now exclusively associated with sustainable development might well be problems of governance for sustainable development. Without making explicit what type of governance for sustainable development is pursued, miscommunication between stakeholders and mismatches of the approach with the instruments used could be the result, thus hampering progress in implementing sustainable development. Copyright (C) 2008 John Wiley & Sons, Ltd and ERP Environment.	[van Zeijl-Rozema, Annemarie; Corvers, Ron; Kemp, Rene; Martens, Pim] Maastricht Univ, Int Ctr Integrated Assessment & Sustainable Dev, NL-6200 MD Maastricht, Netherlands; [Corvers, Ron] Open Univ, Heerlen, Netherlands; [Kemp, Rene] United Nations Univ, Maastricht Econ & Social Res & Training Ctr Innov, Maastricht, Netherlands; [Kemp, Rene] DRIFT, Rotterdam, Netherlands	Maastricht University; Open University Netherlands; Maastricht University	van Zeijl-Rozema, A (corresponding author), Maastricht Univ, Int Ctr Integrated Assessment & Sustainable Dev, POB 616, NL-6200 MD Maastricht, Netherlands.	a.vanzeijl@icis.unimaas.nl	Martens, Pim/A-9297-2011; van Zeijl-Rozema, Annemarie/D-1349-2012	van Zeijl-Rozema, Annemarie/0000-0003-2454-5390					28	98	99	6	77	WILEY	HOBOKEN	111 RIVER ST, HOBOKEN 07030-5774, NJ USA	0968-0802	1099-1719		SUSTAIN DEV	Sustain. Dev.	NOV-DEC	2008	16	6					410	421		10.1002/sd.367	http://dx.doi.org/10.1002/sd.367			12	Development Studies; Green & Sustainable Science & Technology; Regional & Urban Planning	Social Science Citation Index (SSCI)	Development Studies; Science & Technology - Other Topics; Public Administration	394NJ		Green Published			2022-12-14	WOS:000262453100006
J	Stojanovic, I; Ateljevic, J; Stevic, RS				Stojanovic, Ilija; Ateljevic, Jovo; Stevic, R. Stevan			Good Governance as a Tool of Sustainable Development	EUROPEAN JOURNAL OF SUSTAINABLE DEVELOPMENT			English	Article						good governance; sustainable development	DEVELOPING-COUNTRIES; INTERNATIONAL AID; POVERTY	Growing concern about environmental degradation, disappointment with development efforts to reduce poverty and inequality on a global scale together with economic and socio-political instability has shifted focus from the model of economic growth to the new model of sustainable development. Despite the new orientation of development economics, the question on how to achieve sustainable development goals still remains. In order to avoid failure of the neoliberal agenda, the revised version of Washington Consensus focusing on good governance has taken the leading role in development policy. The aim of this research is to test the links between a fuzzy concept of good governance and very heterogonous dimensions of sustainable development. Our research aims to analyze the effects of good governance on particular indicators of sustainable development, especially of socio-economic development, at the level of different categories of countries. This study reveals that statistical significance, direction and intensity of the effects of good governance dimensions vary in relation to the selected indicator of sustainable development and affiliation to the particular category of countries. These results suggest that there is no "one size fits all" model of good governance promoted as a universal mantra of sustainable development putting into question the principles of post-Washington consensus as the key response to modern developmental challenges.	[Stojanovic, Ilija] Cvijete Zuzoric 5, Brcko 76100, Bosnia & Herceg; [Ateljevic, Jovo] Univ Banja Luka, Fac Econ, Majke Jugovica 4, Banja Luka 78000, Republic Of Srp, Bosnia & Herceg; [Stevic, R. Stevan] Univ East Sarajevo, Fac Econ Brcko, Studentska 11, Brcko 76100, Bosnia & Herceg	University of Banja Luka (UNIBL)	Stojanovic, I (corresponding author), Cvijete Zuzoric 5, Brcko 76100, Bosnia & Herceg.		Stojanovic, Ilija/Y-5345-2019	Stojanovic, Ilija/0000-0002-9299-0384					49	22	22	4	17	EUROPEAN CENTER SUSTAINABLE DEVELOPMENT	ROME	VIA DEI FIORI 34, ROME, 00172, ITALY	2239-5938	2239-6101		EUR J SUSTAIN DEV	Eur. J. Sustain. Dev.		2016	5	4					558	573		10.14207/ejsd.2016.v5n4p558	http://dx.doi.org/10.14207/ejsd.2016.v5n4p558			16	Environmental Sciences	Emerging Sources Citation Index (ESCI)	Environmental Sciences & Ecology	DY8QM		gold			2022-12-14	WOS:000385394900055
C	Millard, J; Weerakkody, V; Missi, F; Kapoor, K; Fernando, G		Bertot, J; Estevez, E; Mellouli, S		Millard, Jeremy; Weerakkody, Vishanth; Missi, Farouk; Kapoor, Kawaljeet; Fernando, Gayani			Social Innovation for Poverty Reduction and Sustainable Development: Some Governance and Policy Perspectives	9TH INTERNATIONAL CONFERENCE ON THEORY AND PRACTICE OF ELECTRONIC GOVERNANCE (ICEGOV 2016)			English	Proceedings Paper	9th International Conference on Theory and Practice of Electronic Governance (ICEGOV)	MAR 01-03, 2016	Montevideo, URUGUAY	Agcy Elect Govt & Informat Soc, United Nat Univ Operating Unit Policy Driven Elect Governance, United Nat Educ, Sci & Cultural Org, Deloitte, Int Dev Res Ctr, Univ Minho		Social Innovation; Poverty Reduction; Sustainable Development; Governance; Public Policy		The systematic deployment of social innovation has been largely overlooked by policy makers concerned to reduce poverty and promote sustainable development. According to research funded by the European Commission, the policies of international organizations rarely refer to the potential of social innovation, neither generally nor in the context of achieving the 2030 Sustainable Development Agenda. However, a huge number of initiatives around the global are successfully using social innovation approaches, but most do so without using this term. They thereby do not fully understand the potential and strength that a more systematic deployment of social innovation theories, methods and practices could bring. This paper aims to at least partially redress this balance by reporting on evidence derived from the on-going empirical and theoretical research undertaken by the SI-DRIVE research project in relation to policy reduction and sustainable development, in particular by focusing on the governance and policy implications.	[Millard, Jeremy; Missi, Farouk; Kapoor, Kawaljeet; Fernando, Gayani] Brunel Univ, London, England; [Weerakkody, Vishanth] Brunel Univ, Digital Governance, London, England	Brunel University; Brunel University	Millard, J (corresponding author), Brunel Univ, London, England.	jeremy.millard@brunel.ac.uk; vishanth.weerakkody@brunel.ac.uk; farouk.missi@brunel.ac.uk; kawaljeet.kapoor@brunel.ac.uk; gayani.fernando@brunel.ac.uk							14	7	7	0	16	ASSOC COMPUTING MACHINERY	NEW YORK	1515 BROADWAY, NEW YORK, NY 10036-9998 USA			978-1-4503-3640-6				2016							153	162		10.1145/2910019.2910079	http://dx.doi.org/10.1145/2910019.2910079			10	Computer Science, Interdisciplinary Applications; Political Science; Public Administration	Conference Proceedings Citation Index - Science (CPCI-S); Conference Proceedings Citation Index - Social Science &amp; Humanities (CPCI-SSH)	Computer Science; Government & Law; Public Administration	BG7NN					2022-12-14	WOS:000391515800026
J	Hansson, S; Arfvidsson, H; Simon, D				Hansson, Stina; Arfvidsson, Helen; Simon, David			Governance for sustainable urban development: the double function of SDG indicators	AREA DEVELOPMENT AND POLICY			English	Article						Sustainable Development Goals (SDGs); 2030 Agenda; indicators; sustainable governance; urban sustainability	MILLENNIUM DEVELOPMENT GOALS; DENSITY; SCIENCE; MANAGEMENT; FRAMEWORK; POLITICS; PROVINCE; CITIES; POLICY; POWER	At the core of the 2030 Agenda for Sustainable Development is the imperative of monitoring progress and holding policy-makers accountable. For this purpose, 17 Sustainable Development Goals (SDGs) and 230 global indicators were established with the double function of being a report card and a management tool. In the light of a pilot study about the experiences of local planning officials in the City of Gothenburg, Sweden, in relation to the suggested indicators for SDG 11, 'Make cities and human settlements inclusive, safe, resilient and sustainable', and a comparison with findings in four other cities, the paper argues for a need to reprioritize indicator criteria to serve better governance for sustainable development in diverse urban contexts worldwide.	[Hansson, Stina; Arfvidsson, Helen; Simon, David] Chalmers Univ Technol, Mistra Urban Futures, Gothenburg, Sweden; [Simon, David] Royal Holloway Univ London, Dept Geog, London, England	Chalmers University of Technology; University of London; Royal Holloway University London	Hansson, S (corresponding author), Univ Gothenburg, Sch Global Studies, Gothenburg, Sweden.	stina.hansson@globalstudies.gu.se							76	20	22	9	26	ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD	ABINGDON	2-4 PARK SQUARE, MILTON PARK, ABINGDON OX14 4RN, OXON, ENGLAND	2379-2949	2379-2957		AREA DEV POLICY	Area Dev. Policy	JUL 3	2019	4	3					217	235		10.1080/23792949.2019.1585192	http://dx.doi.org/10.1080/23792949.2019.1585192		APR 2019	19	Development Studies	Emerging Sources Citation Index (ESCI)	Development Studies	IP8KC		hybrid, Green Published			2022-12-14	WOS:000466207800001
J	Achim, MV; Vaidean, VL; Sabau, AI; Safta, IL				Achim, Monica Violeta; Vaidean, Viorela Ligia; Sabau (Popa), Andrada Ioana; Safta, Ioana Lavinia			The impact of the quality of corporate governance on sustainable development: an analysis based on development level	ECONOMIC RESEARCH-EKONOMSKA ISTRAZIVANJA			English	Article; Early Access						Corporate governance; sustainable development; corporate social responsibility	SOCIAL-RESPONSIBILITY DISCLOSURES; FINANCIAL PERFORMANCE; GROWTH; CSR	Sustainable development has gained the attention of researchers worldwide and is becoming an important topic, especially in relation to corporate governance principles. This study investigates the influence of corporate governance on sustainable development in a sample of 185 countries over 2005-2020 using a panel linear regression model. Separate analyses are also conducted on subsamples of high- and low-income countries. Our findings highlight the positive influence of corporate governance, as measured by board efficacy, the strength of audits and reports, and digitalisation, on sustainable development, as measured by the Human Development Index, Human Capital Index, and Environmental Performance Index. Moreover, we find a higher positive and marginal effect of the influence of corporate governance on sustainable development for low-income countries than for high-income countries. The robustness checks performed using variables related to the happiness index, women in top management positions, and technology adoption verify our results. Our findings are important for managers and policymakers to consolidate sustainable development through the incentive brought about by high-quality corporate governance.	[Achim, Monica Violeta; Vaidean, Viorela Ligia] Univ Babes Bolyai, Fac Econ & Business Adm, Dept Finance, Cluj Napoca, Romania; [Sabau (Popa), Andrada Ioana; Safta, Ioana Lavinia] Bolyai Univ, Fac Econ & Business Adm, Cluj Napoca, Romania	Babes Bolyai University from Cluj; Babes Bolyai University from Cluj	Achim, MV (corresponding author), Univ Babes Bolyai, Fac Econ & Business Adm, Dept Finance, Cluj Napoca, Romania.	monica.achim@econ.ubbcluj.ro	Achim, Monica/C-5811-2017	Achim, Monica/0000-0003-4701-041X	Romanian Ministry of Education and Research, CNCS -UEFISCDI within PNCDI III [PN-III-P4-ID-PCE-2020-2174]	Romanian Ministry of Education and Research, CNCS -UEFISCDI within PNCDI III(Consiliul National al Cercetarii Stiintifice (CNCS)Unitatea Executiva pentru Finantarea Invatamantului Superior, a Cercetarii, Dezvoltarii si Inovarii (UEFISCDI))	This work was supported by a grant of the Romanian Ministry of Education and Research, CNCS -UEFISCDI, project number PN-III-P4-ID-PCE-2020-2174, within PNCDI III.		58	1	1	13	14	ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD	ABINGDON	2-4 PARK SQUARE, MILTON PARK, ABINGDON OX14 4RN, OXON, ENGLAND	1331-677X	1848-9664		ECON RES-EKON ISTRAZ	Ekon. Istraz.												10.1080/1331677X.2022.2080745	http://dx.doi.org/10.1080/1331677X.2022.2080745		MAY 2022	30	Economics	Social Science Citation Index (SSCI)	Business & Economics	1S3NA		gold			2022-12-14	WOS:000803959900001
J	Backstrand, K				Backstrand, Karin			Democratizing global environmental governance? Stakeholder democracy after the World Summit on Sustainable Development	EUROPEAN JOURNAL OF INTERNATIONAL RELATIONS			English	Article; Proceedings Paper	Annual Meeting of the American-Political-Science-Association	SEP 02-05, 2004	Chicago, IL	Amer Polit Sci Assoc		civil society; global environmental governance; multi-stakeholder participation; sustainable development		One of the most pressing problems confronting political scientists today is whether global governance has democratic legitimacy. Drawing on an analysis of the World Summit for Sustainable Development (WSSD) in Johannesburg in 2002, this article advances and empirically deploys an ideal-typical model of a new approach to key areas of global governance - 'stakeholder democracy'. This work is located in the context of the changing practices of global governance, in which concerns about legitimacy, accountability, and participation have gained prominence. Sustainability is an arena in which innovative experiments with new hybrid, pluri-lateral forms of governance, such as stakeholder forums and partnership agreements institutionalizing relations between state and non-state actors, are taking place. A central argument is that sustainability governance imperfectly exemplifies new deliberative stakeholder practices with general democratic potential at the global level. In examining these governance arrangements, we draw together the nascent elements of this new 'model', such as its distinctive takes on political representation and accountability.											53	180	183	5	77	SAGE PUBLICATIONS LTD	LONDON	1 OLIVERS YARD, 55 CITY ROAD, LONDON EC1Y 1SP, ENGLAND	1354-0661	1460-3713		EUR J INT RELAT	Eur. J. Int. Relat.	DEC	2006	12	4					467	498		10.1177/1354066106069321	http://dx.doi.org/10.1177/1354066106069321			32	International Relations	Social Science Citation Index (SSCI); Conference Proceedings Citation Index - Social Science &amp; Humanities (CPCI-SSH)	International Relations	138OE					2022-12-14	WOS:000244371200001
J	Rasoolimanesh, SM; Ramakrishna, S; Hall, CM; Esfandiar, K; Seyfi, S				Rasoolimanesh, S. Mostafa; Ramakrishna, Sundari; Hall, C. Michael; Esfandiar, Kourosh; Seyfi, Siamak			A systematic scoping review of sustainable tourism indicators in relation to the sustainable development goals	JOURNAL OF SUSTAINABLE TOURISM			English	Review; Early Access						Sustainable tourism indicators (STIs); sustainable development goals (SDGs); governance; stakeholders; objective and subjective indicators	RESIDENTS ATTITUDES; META-GOVERNANCE; NATIONAL-PARKS; WATER-USE; SUS-TAS; MANAGEMENT; FRAMEWORK; VALIDITY; BENCHMARKING; ENTERPRISES	Sustainable tourism indicators (STIs) are an integral element of tourism planning and management. This study systematically reviews the research contributions on the development of STIs based on four criteria including: i) the relevance of the STIs to the sustainable development goals (SDGs); ii) governance; iii) stakeholders involved; and iv) the distinction between subjective and objective indicators. A search of Scopus indexed journals published up to April 2018, yielded 97 papers for examination. The findings demonstrate the lack of direct attention to the SDGs in those papers published after their launch in 2016. However, the majority of the SDGs and their targets have indirectly been covered in the reviewed papers. The results revealed that, among the sustainability themes of economic growth, social inclusion, environmental protection, and governance, the STIs studies tended to overlook the dimension of governance. The findings showed that residents are the most engaged stakeholder group, and tourists the least engaged as compared with government and businesses. The results also indicated that more attention is afforded to objective compared to subjective indicators. The findings also demonstrated that much of the focus is on European countries rather than the Global South which is the major focus of the SDGs.	[Rasoolimanesh, S. Mostafa; Ramakrishna, Sundari] Taylors Univ, Sch Hospitality Tourism & Events, Subang Jaya, Malaysia; [Hall, C. Michael] Univ Canterbury, Dept Management Mkt & Entrepreneurship, Christchurch, New Zealand; [Esfandiar, Kourosh] Edith Cowan Univ, Sch Business & Law, Joondalup, Australia; [Seyfi, Siamak] Univ Pantheon Sorbonne, Dept Geog, Paris, France	Taylor's University; University of Canterbury; Edith Cowan University	Rasoolimanesh, SM (corresponding author), Taylors Univ, Sch Hospitality Tourism & Events, Subang Jaya, Malaysia.	mostafa.rasoolimanesh@taylors.edu.my	Hall, Colin Michael/AAT-6513-2021; Esfandiar, Kourosh/L-1531-2019; Hall, Colin Michael/C-1439-2010; Rasoolimanesh, S. Mostafa/G-4600-2014; Seyfi, Siamak/K-1793-2019	Hall, Colin Michael/0000-0002-7734-4587; Esfandiar, Kourosh/0000-0001-6242-2899; Hall, Colin Michael/0000-0002-7734-4587; Rasoolimanesh, S. Mostafa/0000-0001-7138-0280; Seyfi, Siamak/0000-0002-2427-7958	Ministry of Education, Malaysia [FRGS/1/2019/WAB12/TAYLOR/02/1]	Ministry of Education, Malaysia(Ministry of Education, Malaysia)	The authors would like to extend their appreciation to the Ministry of Education, Malaysia to fund this paper under the Fundamental Research Grant Scheme (FRGS), 2019 (Grant no. FRGS/1/2019/WAB12/TAYLOR/02/1) that makes this paper possible.		119	93	94	25	80	ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD	ABINGDON	2-4 PARK SQUARE, MILTON PARK, ABINGDON OX14 4RN, OXON, ENGLAND	0966-9582	1747-7646		J SUSTAIN TOUR	J. Sustain. Tour.												10.1080/09669582.2020.1775621	http://dx.doi.org/10.1080/09669582.2020.1775621		JUN 2020	21	Green & Sustainable Science & Technology; Hospitality, Leisure, Sport & Tourism	Social Science Citation Index (SSCI)	Science & Technology - Other Topics; Social Sciences - Other Topics	MK0RV			Y	N	2022-12-14	WOS:000548495900001
J	Durkiewicz, J; Janowski, T				Durkiewicz, Jaromir; Janowski, Tomasz			Is Digital Government Advancing Sustainable Governance? A Study of OECD/EU Countries	SUSTAINABILITY			English	Article						digital technology; digital government; sustainable development; sustainable governance	CORRUPTION; FRAMEWORK; TOOL	International bodies and numerous authors advocate a key role for Digital Government (DG) in improving public governance and achieving other policy outcomes. Today, a particularly relevant outcome is advancing Sustainable Governance (SG), i.e., the capacity to steer and coordinate public action towards sustainable development. This article performs an empirical study of the relationship between DG and SG using data about 41 OECD/EU countries from the United Nations' E-Government Survey and the Bertelsmann's Sustainable Governance Indicators project, covering the period from 2014 to 2020. We examine if DG progress pairs with SG progress, apply a DEA model to find out which countries are efficient in using DG for better SG, and uncover cases of imbalance where high DG pairs with poor SG and vice versa. The results show that the efficiency in using DG for SG strongly varies, and that some DG leaders persistently fail to advance or even regress their SG. These findings refute the claims about the benign role of DG and points at democracy as the "weak link" in the analyzed relation.	[Durkiewicz, Jaromir; Janowski, Tomasz] Gdansk Univ Technol, Fac Management & Econ, Dept Informat Management, PL-80233 Gdansk, Poland; [Janowski, Tomasz] Danube Univ Krems, Fac Business & Globalizat, Dept E Governance & Adm, A-3500 Krems, Austria	Fahrenheit Universities; Gdansk University of Technology; Danube University Krems	Durkiewicz, J (corresponding author), Gdansk Univ Technol, Fac Management & Econ, Dept Informat Management, PL-80233 Gdansk, Poland.	jaromir.durkiewicz@pg.edu.pl; tomasz.janowski@pg.edu.pl	Janowski, Tomasz/A-2521-2017	Janowski, Tomasz/0000-0001-8950-5782	Department of Informatics in Management, Faculty of Management and Economics, Gdansk University of Technology, Poland [033109]	Department of Informatics in Management, Faculty of Management and Economics, Gdansk University of Technology, Poland	This research was partly supported by the project "Nowoczesne metody wspomagania procesow zarzadzania w gospodarce i administracji", number 033109, funded by the Department of Informatics in Management, Faculty of Management and Economics, Gdansk University of Technology, Poland.		70	2	2	15	30	MDPI	BASEL	ST ALBAN-ANLAGE 66, CH-4052 BASEL, SWITZERLAND		2071-1050		SUSTAINABILITY-BASEL	Sustainability	DEC	2021	13	24							13603	10.3390/su132413603	http://dx.doi.org/10.3390/su132413603			17	Green & Sustainable Science & Technology; Environmental Sciences; Environmental Studies	Science Citation Index Expanded (SCI-EXPANDED); Social Science Citation Index (SSCI)	Science & Technology - Other Topics; Environmental Sciences & Ecology	XZ1XT		gold			2022-12-14	WOS:000737453800001
J	Siakwah, P; Musavengane, R; Leonard, L				Siakwah, Pius; Musavengane, Regis; Leonard, Llewellyn			Tourism Governance and Attainment of the Sustainable Development Goals in Africa	TOURISM PLANNING & DEVELOPMENT			English	Article						Tourism; sustainability; governance; SDGs; South Africa; Zimbabwe	WILDLIFE CONSERVATION; NATURAL-RESOURCES; POLITICAL-ECONOMY; META-GOVERNANCE; TRUST; COMMUNITY; POLICY; POWER; MANAGEMENT; STATE	Inclusiveness that improves tourism governance is significant for development if benefits from tourism are distributed equitably. Declaration of 2017 as the International Year of Sustainable Tourism and adoption of the Sustainable Development Goals (SDGs) have seemingly brought tourism to the forefront of development even where the SDGs have limited tourism focus. This paper examines how tourism governance is poorly applied in Africa. It interrogates the challenges of integrating tourism governance, mining, and conservation within the SDGs framework in Africa. Sustainable tourism governance frameworks have not comprehensively inculcated trust justice, social capital, power, and participation. Using mining and conservation in South Africa and Zimbabwe respectively, it analyses how mining affects sustainability, as actors in tourism are unable to conserve and protect tourism sites. Achieving the SDGs requires collaboration between international actors, governments, the private sector, and locals in an inclusive governance based on justice, inclusion trust and equitable power relations.	[Siakwah, Pius] Univ Ghana, Inst African Studies, Legon, Ghana; [Musavengane, Regis] Univ Johannesburg, Dept Tourism & Hospitality, Sch Business & Econ, Johannesburg, South Africa; [Leonard, Llewellyn] Univ South Africa UNISA, Dept Environm Sci, Pretoria, South Africa	University of Ghana; University of Johannesburg; University of South Africa	Siakwah, P (corresponding author), Univ Ghana, Inst African Studies, Legon, Ghana.	siakwahp@tcd.ie	Leonard, Llewellyn/ABF-7476-2020; Musavengane, Regis/U-9197-2019; Siakwah, Pius/AIC-8032-2022	Leonard, Llewellyn/0000-0002-6279-0373; Musavengane, Regis/0000-0002-5276-7911; Siakwah, Pius/0000-0003-3874-4286					147	57	57	5	21	ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD	ABINGDON	2-4 PARK SQUARE, MILTON PARK, ABINGDON OX14 4RN, OXON, ENGLAND	2156-8316	2156-8324		TOUR PLAN DEV	Tour. Plan. Dev.	JUL 3	2020	17	4					355	383		10.1080/21568316.2019.1600160	http://dx.doi.org/10.1080/21568316.2019.1600160			29	Hospitality, Leisure, Sport & Tourism	Emerging Sources Citation Index (ESCI)	Social Sciences - Other Topics	NW6FD					2022-12-14	WOS:000575109100001
J	Dong, L; Yang, XH; Li, HT				Dong, Liang; Yang, Xiaohua; Li, Hongtao			The Belt and Road Initiative and the 2030 Agenda for Sustainable Development: seeking linkages for global environmental governance	CHINESE JOURNAL OF POPULATION RESOURCES AND ENVIRONMENT			English	Article						The Belt and Road Initiative; 2030 Agenda for Sustainable Development; South-South cooperation; interplay; global environmental governance; linkage; climate change	PARIS	Global environmental cooperation serves as an important part in the Chinese ideal of building a Community with a Shared Future for all Human Beings. The report of 19th CPC National Congress indicates that China is committed to proactive mitigation under the Paris Agreement and further participating in global environmental governance under the 2030 Agenda for Sustainable Development, and both of which are largely integrated to the Belt and Road Initiative (BRI). BRI are also closely linked with South-South environmental and climate cooperation proposed by China from previous UN summits. Based on shared ideas, intersected agendas, and compatible governance approaches, BRI and the 2030 Agenda for Sustainable Development grow increasingly relevant and they might form synergies based on increasingly interactive relations. In sum, seeking and intensifying the linkages between BRI and 2030 sustainable development goals (SDGs) could address global environmental governance deficits and enhance cooperation among nations.	[Dong, Liang] China Foreign Affairs Univ, Inst Asian Studies, Beijing, Peoples R China; [Yang, Xiaohua; Li, Hongtao] Minist Ecol & Environm Peoples Republ China, Foreign Econ Cooperat Off, Beijing 100035, Peoples R China	China Foreign Affairs University	Yang, XH (corresponding author), Minist Ecol & Environm Peoples Republ China, Foreign Econ Cooperat Off, Beijing 100035, Peoples R China.	yang.xiaohua@mepfeco.org.cn			Beijing Social Science Fund: Beijing's Participation in the United Nations 2030 Agenda for Sustainable Development [17ZGC011]	Beijing Social Science Fund: Beijing's Participation in the United Nations 2030 Agenda for Sustainable Development	This paper is supported by the Beijing Social Science Fund: Beijing's Participation in the United Nations 2030 Agenda for Sustainable Development [grant number: 17ZGC011].		27	13	13	3	24	ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD	ABINGDON	2-4 PARK SQUARE, MILTON PARK, ABINGDON OX14 4RN, OXON, ENGLAND	1004-2857	2325-4262		CHIN J POPUL RESOUR	Chin. J. Popul. Resour. Environ.		2018	16	3					203	210		10.1080/10042857.2018.1487745	http://dx.doi.org/10.1080/10042857.2018.1487745			8	Environmental Studies	Emerging Sources Citation Index (ESCI)	Environmental Sciences & Ecology	HI0HX					2022-12-14	WOS:000456123800004
